data	for	MAX_MESSAGE_SIZE	equal	to	100000			
73	5,849	5,963	5,961	6,053	63	97,8	99	201
74	5,866	5,983	5,982	6,08	55	95,4	93	176
75	5,888	6,003	6,002	6,101	68	97,6	95	173
76	5,911	6,021	6,021	6,116	59	97,1	96	195
77	5,933	6,04	6,039	6,139	62	100,9	99	258
78	5,95	6,058	6,058	6,153	66	102,6	100	209
79	5,965	6,077	6,075	6,169	63	104,4	103	221
80	5,982	6,094	6,093	6,184	64	104	103	257
81	5,993	6,112	6,113	6,198	61	107,4	104	237
82	6,011	6,129	6,128	6,212	59	109,6	109	233
83	6,018	6,146	6,144	6,226	70	112,4	110	207
84	6,033	6,162	6,16	6,244	71	111,2	109	232
85	6,054	6,179	6,18	6,257	67	117,2	117	254
86	6,068	6,196	6,196	6,275	72	118,3	117	243
87	6,096	6,211	6,21	6,293	70	118,8	115	272
88	6,118	6,228	6,225	6,314	62	122,7	118	237
89	6,135	6,243	6,242	6,332	70	129,3	128	277
90	6,155	6,258	6,258	6,338	77	127,2	126	252
91	6,169	6,274	6,274	6,355	73	130,8	130	227
92	6,193	6,289	6,289	6,37	75	134,1	134	228
93	6,201	6,304	6,304	6,383	81	136,9	135	251
94	6,221	6,318	6,317	6,397	71	139,7	138	226
95	6,239	6,332	6,33	6,417	69	138,8	139	260
96	6,25	6,348	6,345	6,425	85	138,6	136	237
97	6,268	6,362	6,359	6,443	82	140,3	140	216
98	6,284	6,376	6,375	6,45	86	137,7	136	207
99	6,301	6,39	6,388	6,463	85	137,3	135	221
100	6,32	6,404	6,401	6,481	87	133,7	132	221
101	6,334	6,418	6,418	6,498	93	135,7	134	234
102	6,346	6,432	6,431	6,514	93	134,2	134	197
103	6,355	6,446	6,444	6,526	95	132,8	130	217
104	6,363	6,459	6,455	6,536	92	131,2	131	249
105	6,379	6,473	6,469	6,552	89	127,3	125	194
106	6,395	6,486	6,484	6,567	93	129,3	129	258
107	6,412	6,5	6,497	6,582	86	126,9	123	209
108	6,422	6,513	6,51	6,607	92	125,7	124	202
109	6,419	6,527	6,525	6,614	84	125,6	124	202
110	6,436	6,54	6,538	6,629	86	122,6	122	219
111	6,452	6,553	6,551	6,646	83	121,8	121	170
112	6,467	6,566	6,564	6,658	88	121,2	120	173
113	6,48	6,579	6,578	6,674	82	120,1	118	188
114	6,486	6,592	6,589	6,687	88	120,7	120	191
115	6,504	6,605	6,604	6,705	84	118,6	117	191
116	6,517	6,617	6,616	6,714	87	119,2	119	181
117	6,527	6,63	6,629	6,728	84	117,5	117	184
118	6,542	6,643	6,64	6,739	85	117,8	116	178
119	6,548	6,656	6,654	6,754	87	117,5	117	178
120	6,573	6,668	6,668	6,763	86	118,7	116	182
121	6,582	6,681	6,681	6,774	87	117,6	116	179
122	6,592	6,693	6,693	6,781	83	117,2	117	186
123	6,611	6,705	6,703	6,785	83	118,7	118	192
124	6,614	6,716	6,717	6,796	78	118,8	118	170
125	6,617	6,729	6,728	6,805	83	115,5	116	184
126	6,636	6,74	6,74	6,815	82	117,4	116	234
127	6,644	6,752	6,752	6,827	84	116,6	115	175
128	6,661	6,764	6,765	6,845	78	116,9	116	202
129	6,671	6,775	6,775	6,854	81	115,5	115	168
130	6,683	6,787	6,786	6,87	79	118,7	117	181
131	6,699	6,797	6,797	6,882	79	115,4	113	179
132	6,709	6,809	6,81	6,894	89	118,5	116	209
133	6,721	6,821	6,821	6,902	81	117,7	118	174
134	6,724	6,832	6,832	6,914	83	116,3	116	191
135	6,734	6,843	6,842	6,916	81	116,9	114	188
136	6,747	6,854	6,854	6,926	84	116,8	115	195
137	6,757	6,865	6,865	6,938	83	115,3	115	179
138	6,764	6,876	6,875	6,947	83	116,5	116	192
139	6,777	6,886	6,886	6,965	73	116	116	198
140	6,787	6,897	6,896	6,975	75	116,8	116	202
141	6,806	6,908	6,906	6,987	79	114,6	112	192
142	6,802	6,918	6,917	6,997	86	115,8	115	184
143	6,821	6,928	6,929	7,009	71	115	113	203
144	6,834	6,938	6,936	7,014	84	119,3	118	182
145	6,841	6,948	6,949	7,02	84	117,6	116	210
146	6,858	6,958	6,957	7,031	70	119,5	119	202
147	6,864	6,968	6,967	7,048	75	119,5	118	225
148	6,88	6,979	6,977	7,049	82	121,1	118	223
149	6,891	6,989	6,987	7,06	77	118,6	117	192
150	6,902	6,998	6,997	7,071	74	119,7	119	189
151	6,91	7,008	7,006	7,075	85	122,1	120	181
152	6,925	7,018	7,015	7,087	86	122,7	121	216
153	6,932	7,027	7,025	7,095	75	122,2	121	235
154	6,941	7,037	7,035	7,106	82	123,9	124	222
155	6,951	7,046	7,046	7,116	87	122,8	121	192
156	6,959	7,055	7,054	7,122	86	125,1	124	241
157	6,966	7,064	7,065	7,133	82	127,2	127	248
158	6,982	7,074	7,074	7,144	84	128,6	126	205
159	6,993	7,083	7,083	7,152	88	127,5	125	220
160	7,001	7,091	7,093	7,159	76	128,6	127	231
161	7,01	7,101	7,101	7,172	79	128	126	268
162	7,027	7,11	7,111	7,18	81	131	129	239
163	7,033	7,118	7,118	7,191	74	130	128	218
164	7,044	7,127	7,126	7,197	93	133,6	131	256
165	7,05	7,135	7,133	7,21	83	131,9	132	249
166	7,062	7,144	7,144	7,216	92	135,5	132	225
167	7,071	7,153	7,154	7,225	90	136,4	136	236
168	7,078	7,161	7,162	7,232	89	135,3	133	233
169	7,089	7,169	7,169	7,24	92	138,2	134	229
170	7,096	7,178	7,178	7,252	90	141,6	140	304
171	7,099	7,186	7,186	7,258	90	143,2	141	238
172	7,112	7,194	7,195	7,267	93	144,6	144	257
173	7,12	7,202	7,202	7,27	94	146,3	143	252
174	7,123	7,21	7,21	7,278	93	146,1	144	227
175	7,14	7,218	7,218	7,285	98	147,8	147	234
176	7,143	7,226	7,227	7,293	88	151,1	151	279
177	7,156	7,234	7,233	7,301	97	154,8	153	336
178	7,167	7,241	7,242	7,309	93	157,4	154	276
179	7,173	7,249	7,251	7,32	99	158,6	159	302
180	7,18	7,257	7,258	7,328	98	160,8	158	258
181	7,192	7,264	7,263	7,332	97	160,4	161	260
182	7,198	7,272	7,271	7,343	98	163,9	162	269
183	7,204	7,279	7,278	7,351	97	165,9	166	256
184	7,212	7,287	7,286	7,363	98	166,7	166	282
185	7,22	7,294	7,294	7,369	90	168	167	262
186	7,23	7,301	7,301	7,373	103	171	169	285
187	7,232	7,309	7,309	7,383	103	172,7	172	291
188	7,241	7,315	7,316	7,387	110	175,3	177	257
189	7,25	7,323	7,323	7,4	110	171,6	171	252
190	7,251	7,33	7,33	7,408	87	174,3	174	514
191	7,264	7,337	7,337	7,419	100	172,9	171	287
192	7,278	7,344	7,345	7,422	113	172,9	172	253
193	7,283	7,351	7,353	7,431	93	174	173	251
194	7,29	7,358	7,358	7,438	118	171,7	171	275
195	7,295	7,365	7,366	7,45	120	173,9	173	280
196	7,307	7,372	7,371	7,452	112	172,4	170	312
197	7,312	7,379	7,38	7,459	117	171,3	172	245
198	7,322	7,386	7,385	7,468	101	171,6	171	317
199	7,329	7,393	7,393	7,474	127	170	167	278
200	7,328	7,4	7,399	7,48	123	168,7	170	253
201	7,345	7,407	7,405	7,488	118	164,9	165	261
202	7,347	7,414	7,413	7,492	114	166,4	165	235
203	7,358	7,421	7,421	7,501	121	164,8	161	256
204	7,362	7,428	7,426	7,508	120	164,7	164	261
205	7,369	7,435	7,433	7,513	118	163,1	161	228
206	7,38	7,442	7,442	7,524	127	161,7	158	288
207	7,382	7,449	7,449	7,527	117	160,8	160	265
208	7,387	7,456	7,455	7,537	122	159,3	156	244
209	7,393	7,462	7,462	7,545	119	159,7	158	284
210	7,403	7,469	7,468	7,551	120	157,9	156	254
211	7,407	7,476	7,476	7,553	108	156,9	157	236
212	7,415	7,483	7,483	7,559	114	154,9	153	244
213	7,429	7,49	7,488	7,572	118	157,2	156	267
214	7,431	7,496	7,495	7,578	118	154,9	152	262
215	7,441	7,503	7,504	7,586	109	152,9	153	290
216	7,441	7,509	7,509	7,594	110	152,1	151	247
217	7,44	7,516	7,517	7,601	121	152	149	327
218	7,45	7,522	7,523	7,608	109	151,8	151	233
219	7,461	7,529	7,53	7,613	111	151,6	150	222
220	7,465	7,536	7,536	7,623	107	148,8	146	206
221	7,471	7,543	7,543	7,628	112	150,9	148	223
222	7,482	7,549	7,549	7,631	114	149,5	147	242
223	7,487	7,556	7,556	7,638	113	150,3	149	237
224	7,493	7,562	7,562	7,637	100	150,2	150	249
225	7,497	7,569	7,569	7,646	117	148,8	146	257
226	7,509	7,575	7,576	7,646	111	147,3	147	227
227	7,508	7,582	7,581	7,659	110	147,7	146	209
228	7,52	7,588	7,589	7,658	108	145,8	145	207
229	7,519	7,595	7,595	7,669	106	144,7	145	223
230	7,53	7,602	7,601	7,67	108	143,3	142	284
231	7,54	7,608	7,608	7,686	103	144,7	143	242
232	7,543	7,614	7,615	7,683	106	142	142	211
233	7,55	7,621	7,62	7,69	99	145,1	144	210
234	7,555	7,627	7,627	7,698	106	142,4	141	217
235	7,56	7,633	7,633	7,702	112	143,1	142	195
236	7,566	7,64	7,639	7,713	104	141,5	142	239
237	7,577	7,646	7,645	7,716	110	142	141	212
238	7,577	7,652	7,652	7,731	109	142,5	141	209
239	7,591	7,658	7,658	7,734	107	142,5	142	211
240	7,594	7,665	7,665	7,736	111	146	145	284
241	7,594	7,671	7,672	7,746	105	139,4	139	197
242	7,594	7,677	7,678	7,758	109	142,8	141	196
243	7,601	7,683	7,684	7,76	98	142,4	141	219
244	7,608	7,69	7,69	7,764	104	140,8	140	345
245	7,616	7,696	7,697	7,764	102	140,5	139	251
246	7,623	7,701	7,702	7,768	100	140,8	140	215
247	7,622	7,708	7,707	7,778	111	143,1	142	255
248	7,633	7,714	7,715	7,783	111	140,1	139	206
249	7,643	7,719	7,719	7,784	103	140,9	140	206
250	7,643	7,726	7,726	7,792	99	139,8	137	209
251	7,654	7,731	7,734	7,8	98	140,9	139	209
252	7,66	7,737	7,739	7,81	103	139,5	138	218
253	7,667	7,744	7,745	7,811	106	139,5	138	220
254	7,677	7,749	7,751	7,817	105	138,4	137	201
255	7,674	7,755	7,757	7,826	107	138,7	138	210
256	7,683	7,761	7,761	7,835	101	140,4	139	214
257	7,69	7,766	7,768	7,836	107	138,1	137	214
258	7,695	7,772	7,773	7,841	95	139,7	140	211
259	7,699	7,778	7,778	7,849	106	141,7	141	231
260	7,705	7,783	7,783	7,85	107	139,9	138	223
261	7,708	7,789	7,79	7,858	106	140,3	140	195
262	7,725	7,795	7,797	7,863	105	140,7	140	246
263	7,725	7,801	7,802	7,863	107	139	138	207
264	7,731	7,807	7,809	7,872	106	141,4	140	212
265	7,741	7,812	7,814	7,883	100	140,6	139	226
266	7,748	7,818	7,818	7,887	100	139,8	139	213
267	7,753	7,824	7,826	7,89	108	139	137	199
268	7,758	7,829	7,83	7,895	101	139,2	137	218
269	7,767	7,835	7,835	7,897	107	139,4	139	228
270	7,771	7,84	7,84	7,904	108	139,2	138	212
271	7,782	7,846	7,847	7,91	105	141,7	141	218
272	7,783	7,851	7,852	7,919	105	142,6	140	232
273	7,791	7,856	7,858	7,92	109	140,8	139	213
274	7,801	7,862	7,862	7,931	107	138,5	138	204
275	7,802	7,867	7,867	7,932	105	138,4	137	202
276	7,81	7,873	7,872	7,939	102	139,5	139	243
277	7,813	7,878	7,877	7,937	108	139,3	137	209
278	7,821	7,883	7,884	7,946	102	140,6	141	249
279	7,823	7,889	7,89	7,944	103	140	139	223
280	7,831	7,893	7,893	7,955	100	139,6	138	224
281	7,835	7,899	7,9	7,956	109	141,9	141	231
282	7,841	7,905	7,905	7,965	102	141,1	140	218
283	7,849	7,909	7,91	7,972	107	140,1	139	213
284	7,847	7,915	7,916	7,973	103	140,6	139	221
285	7,857	7,92	7,92	7,981	102	141,8	142	226
286	7,86	7,925	7,927	7,983	106	139,4	137	216
287	7,869	7,93	7,931	7,991	104	142,7	140	194
288	7,871	7,935	7,936	7,994	105	139,5	137	237
289	7,878	7,94	7,941	7,992	108	139,4	137	231
290	7,889	7,946	7,946	8,002	102	142,3	141	241
291	7,89	7,95	7,95	8,01	103	142,4	141	235
292	7,895	7,955	7,955	8,013	107	143,4	144	259
293	7,908	7,96	7,961	8,017	106	142,2	141	236
294	7,899	7,965	7,965	8,025	102	145	145	224
295	7,911	7,97	7,969	8,024	109	143,9	142	227
296	7,916	7,975	7,974	8,025	100	144,1	144	211
297	7,92	7,98	7,981	8,036	104	143,4	144	242
298	7,925	7,985	7,983	8,038	100	145	143	220
299	7,93	7,99	7,99	8,043	103	144,5	146	218
300	7,937	7,995	7,994	8,054	107	145,8	145	234
301	7,942	8	7,999	8,051	109	145,5	145	263
302	7,951	8,004	8,003	8,058	107	144,6	143	214
303	7,958	8,009	8,008	8,061	108	146,3	145	219
304	7,967	8,014	8,013	8,066	107	144	143	265
305	7,967	8,019	8,019	8,076	104	146,7	146	248
306	7,968	8,023	8,024	8,07	101	148,6	146	291
307	7,976	8,028	8,028	8,08	104	149,1	149	212
308	7,982	8,033	8,033	8,081	115	150,3	149	256
309	7,985	8,038	8,038	8,086	111	148,1	145	232
310	7,991	8,043	8,044	8,09	103	151,5	150	222
311	7,997	8,047	8,048	8,098	100	148,2	146	306
312	8,003	8,052	8,053	8,1	108	150,7	149	234
313	8,01	8,056	8,058	8,101	111	150,8	150	253
314	8,013	8,061	8,061	8,104	101	152,8	153	231
315	8,018	8,066	8,067	8,109	107	149,6	148	211
316	8,025	8,071	8,07	8,113	113	153,2	152	239
317	8,027	8,075	8,075	8,119	117	152,3	151	231
318	8,03	8,08	8,08	8,121	105	151,4	148	234
319	8,042	8,085	8,085	8,127	112	155,4	154	222
320	8,041	8,089	8,089	8,131	113	156,2	157	256
321	8,047	8,093	8,092	8,139	106	154,4	151	246
322	8,047	8,098	8,097	8,142	108	153	152	242
323	8,057	8,102	8,102	8,154	109	155,1	154	255
324	8,06	8,107	8,108	8,151	105	157,6	156	245
325	8,068	8,111	8,111	8,159	114	156,8	156	244
326	8,074	8,115	8,116	8,164	111	161,7	159	244
327	8,079	8,12	8,12	8,164	115	160	160	235
328	8,079	8,125	8,124	8,173	116	161	161	259
329	8,087	8,129	8,13	8,175	104	158,9	158	237
330	8,09	8,133	8,133	8,176	112	159,8	158	240
331	8,094	8,137	8,138	8,181	110	162,3	160	258
332	8,095	8,142	8,143	8,185	115	161,3	160	233
333	8,105	8,146	8,146	8,186	115	161,7	160	253
334	8,109	8,15	8,15	8,19	111	165,3	163	262
335	8,108	8,154	8,154	8,199	110	162,4	161	376
336	8,11	8,159	8,159	8,206	105	164,6	164	263
337	8,124	8,163	8,163	8,207	123	162,8	161	281
338	8,123	8,167	8,166	8,211	112	164,8	163	253
339	8,129	8,171	8,17	8,212	113	164,2	161	310
340	8,133	8,175	8,175	8,216	116	168,3	165	295
341	8,135	8,179	8,179	8,22	115	170,7	168	325
342	8,14	8,183	8,183	8,221	115	169,5	167	294
343	8,144	8,187	8,188	8,227	122	171	171	276
344	8,149	8,191	8,192	8,231	123	172,7	170	281
345	8,153	8,196	8,196	8,238	122	174,7	173	279
346	8,16	8,2	8,199	8,239	118	173,4	171	288
347	8,162	8,203	8,205	8,241	122	173,8	173	278
348	8,167	8,207	8,207	8,249	115	175,6	175	279
349	8,169	8,211	8,211	8,253	125	180,3	178	265
350	8,172	8,215	8,215	8,258	124	177,6	175	294
351	8,175	8,219	8,22	8,258	126	178,9	178	257
352	8,182	8,224	8,223	8,263	129	177	174	325
353	8,187	8,227	8,227	8,267	118	182,2	179	304
354	8,192	8,231	8,231	8,271	117	181,1	179	290
355	8,199	8,235	8,235	8,272	124	181,8	179	260
356	8,199	8,239	8,239	8,278	134	183,4	181	299
357	8,202	8,243	8,244	8,283	118	183,3	184	276
358	8,208	8,246	8,245	8,286	121	188,5	187	290
359	8,21	8,25	8,25	8,292	123	187,3	186	294
360	8,213	8,254	8,253	8,293	126	190,9	189	318
361	8,214	8,258	8,259	8,295	129	192,6	187	297
362	8,222	8,262	8,262	8,299	136	193,3	192	357
363	8,228	8,266	8,265	8,306	136	193,1	192	289
364	8,227	8,269	8,27	8,306	134	199,4	201	307
365	8,233	8,273	8,273	8,311	127	198	193	351
366	8,238	8,277	8,277	8,316	125	196,2	196	304
367	8,242	8,281	8,282	8,319	128	198,9	199	306
368	8,246	8,285	8,285	8,324	132	201,7	198	311
369	8,25	8,288	8,289	8,327	132	200,7	198	290
370	8,254	8,291	8,293	8,329	136	204,2	203	358
371	8,257	8,296	8,297	8,336	136	202,9	203	342
372	8,264	8,299	8,3	8,337	134	204,3	202	304
373	8,266	8,302	8,303	8,34	136	208,8	207	357
374	8,271	8,306	8,307	8,344	139	210	208	429
375	8,275	8,309	8,31	8,345	140	206,6	208	309
376	8,276	8,313	8,314	8,353	141	210,1	210	320
377	8,279	8,317	8,318	8,356	140	216	216	345
378	8,284	8,32	8,322	8,362	133	209,8	208	310
379	8,286	8,324	8,325	8,365	140	214,3	210	346
380	8,292	8,328	8,328	8,368	140	215,2	214	305
381	8,292	8,331	8,332	8,367	142	214,3	212	353
382	8,298	8,335	8,335	8,375	151	215	212	315
383	8,301	8,338	8,338	8,379	158	207,6	207	324
384	8,305	8,342	8,343	8,387	158	209,7	208	326
385	8,304	8,345	8,346	8,385	145	211,4	210	344
386	8,311	8,349	8,35	8,387	145	213,3	212	368
387	8,315	8,353	8,354	8,392	160	214,4	212	360
388	8,317	8,356	8,356	8,393	161	214,8	213	328
389	8,324	8,359	8,359	8,396	164	210,1	208	390
390	8,328	8,363	8,363	8,399	166	212,7	211	312
391	8,33	8,366	8,367	8,404	158	208,5	208	306
392	8,334	8,37	8,37	8,407	164	208,7	206	304
393	8,33	8,373	8,373	8,412	132	208,9	209	318
394	8,337	8,377	8,377	8,416	151	210,6	207	405
395	8,342	8,381	8,381	8,422	163	206,5	204	305
396	8,345	8,384	8,384	8,424	153	206,8	205	336
397	8,348	8,388	8,389	8,425	156	205,1	204	330
398	8,349	8,391	8,391	8,431	158	202,9	201	351
399	8,354	8,395	8,396	8,434	155	204,4	205	336
400	8,362	8,398	8,399	8,435	154	200,3	198	310
401	8,365	8,401	8,402	8,441	161	202,9	201	340
402	8,367	8,405	8,405	8,445	155	203,2	203	425
403	8,369	8,409	8,409	8,447	157	200,5	198	327
404	8,372	8,412	8,412	8,451	155	201,3	200	344
405	8,378	8,415	8,416	8,454	153	201,2	203	306
406	8,377	8,419	8,42	8,458	157	200,6	199	324
407	8,385	8,422	8,423	8,465	153	199,1	198	286
408	8,387	8,426	8,426	8,47	147	199	198	320
409	8,395	8,429	8,43	8,471	145	194,8	192	292
410	8,395	8,433	8,433	8,471	145	195,8	195	303
411	8,397	8,436	8,436	8,481	155	194,2	193	289
412	8,398	8,44	8,44	8,482	154	193,9	193	331
413	8,404	8,443	8,444	8,485	146	196,5	194	331
414	8,41	8,447	8,447	8,489	150	193,3	190	293
415	8,412	8,45	8,45	8,49	146	193,6	192	302
416	8,414	8,454	8,454	8,497	146	193	192	277
417	8,42	8,457	8,458	8,498	146	189,2	187	306
418	8,424	8,46	8,46	8,499	148	190,4	189	282
419	8,425	8,464	8,464	8,503	151	191,6	190	295
420	8,427	8,467	8,467	8,509	145	187,8	185	278
421	8,432	8,471	8,47	8,509	138	186,7	185	314
422	8,432	8,475	8,474	8,514	142	189,1	188	286
423	8,436	8,478	8,478	8,519	139	186,9	185	318
424	8,442	8,482	8,482	8,52	133	184,5	181	269
425	8,441	8,485	8,485	8,53	142	186,5	184	262
426	8,445	8,488	8,488	8,531	141	185,2	182	267
427	8,445	8,492	8,492	8,533	147	187,9	186	310
428	8,447	8,495	8,495	8,535	139	185,4	184	293
429	8,456	8,498	8,498	8,538	135	185,5	183	271
430	8,457	8,501	8,501	8,542	139	186,5	184	289
431	8,46	8,505	8,505	8,546	142	181,2	180	267
432	8,468	8,508	8,509	8,55	139	183,3	182	291
433	8,467	8,512	8,512	8,55	138	185,1	184	322
434	8,473	8,515	8,515	8,554	135	181,5	181	273
435	8,478	8,519	8,519	8,558	140	185,1	184	288
436	8,479	8,522	8,522	8,564	136	182,2	181	364
437	8,48	8,525	8,525	8,564	137	181,9	181	298
438	8,486	8,529	8,529	8,57	141	179	178	302
439	8,489	8,532	8,531	8,573	140	184,5	184	274
440	8,491	8,535	8,535	8,574	142	180	176	264
441	8,491	8,538	8,538	8,578	133	179,4	178	296
442	8,496	8,542	8,542	8,581	143	178,4	176	253
443	8,501	8,546	8,545	8,588	130	179,4	179	287
444	8,5	8,549	8,549	8,586	131	179,7	177	308
445	8,506	8,552	8,551	8,59	136	177,8	176	295
446	8,51	8,555	8,556	8,593	138	176,4	175	277
447	8,514	8,559	8,558	8,599	136	176	174	263
448	8,514	8,562	8,561	8,602	135	177,8	176	279
449	8,523	8,565	8,565	8,603	136	177	175	298
450	8,521	8,568	8,567	8,611	131	176,3	176	267
451	8,525	8,572	8,571	8,613	138	175,9	174	300
452	8,527	8,575	8,575	8,612	121	176,2	175	297
453	8,536	8,579	8,578	8,621	140	175,8	176	241
454	8,538	8,582	8,58	8,62	128	176,6	177	276
455	8,541	8,585	8,586	8,625	123	175,1	173	271
456	8,544	8,588	8,588	8,628	130	172,7	173	262
457	8,547	8,591	8,591	8,633	136	173,8	174	300
458	8,551	8,595	8,594	8,634	130	175,4	172	344
459	8,554	8,598	8,597	8,64	134	170	169	307
460	8,554	8,601	8,6	8,643	130	173,5	172	278
461	8,559	8,604	8,604	8,646	134	174,1	172	264
462	8,561	8,608	8,607	8,65	128	171	169	284
463	8,568	8,611	8,61	8,651	130	171,9	170	287
464	8,568	8,614	8,613	8,655	133	170,1	169	265
465	8,572	8,617	8,617	8,658	130	170,4	168	252
466	8,577	8,62	8,62	8,661	132	171	170	255
467	8,585	8,623	8,622	8,666	132	172,6	170	242
468	8,581	8,627	8,627	8,668	128	170,4	169	302
469	8,586	8,63	8,63	8,672	128	172,7	171	270
470	8,588	8,633	8,632	8,675	126	171	169	320
471	8,593	8,636	8,635	8,677	117	170,8	169	320
472	8,596	8,64	8,638	8,683	127	170,3	168	283
473	8,598	8,642	8,642	8,685	129	166,2	165	248
474	8,601	8,646	8,644	8,687	134	168,6	165	278
475	8,607	8,649	8,649	8,693	130	171,6	170	306
476	8,606	8,652	8,651	8,691	127	169	169	317
477	8,609	8,655	8,655	8,7	129	170,2	168	277
478	8,612	8,659	8,658	8,701	124	169,3	168	263
479	8,615	8,661	8,66	8,706	130	169,4	168	243
480	8,618	8,665	8,664	8,709	123	168,6	167	255
481	8,622	8,668	8,667	8,708	132	168,4	167	258
482	8,629	8,671	8,671	8,714	124	170,3	168	310
483	8,629	8,674	8,673	8,722	137	169,9	166	264
484	8,634	8,677	8,676	8,717	129	170,2	168	268
485	8,631	8,681	8,68	8,723	130	168,6	166	237
486	8,64	8,683	8,683	8,725	124	170,7	170	249
487	8,642	8,686	8,686	8,729	130	169,1	167	254
488	8,644	8,689	8,689	8,732	129	167,8	167	268
489	8,648	8,692	8,692	8,732	123	170,5	169	252
490	8,653	8,696	8,695	8,74	129	168,5	167	236
491	8,655	8,699	8,698	8,738	124	167,6	167	278
492	8,659	8,702	8,702	8,742	130	169,5	168	275
493	8,654	8,705	8,704	8,748	128	168,9	166	253
494	8,66	8,708	8,707	8,751	132	169,3	168	286
495	8,665	8,711	8,712	8,751	128	167,3	166	241
496	8,673	8,714	8,714	8,757	133	170,8	170	274
497	8,674	8,717	8,716	8,759	124	168,5	168	234
498	8,674	8,72	8,72	8,76	130	170,2	170	271
499	8,679	8,723	8,722	8,767	133	168,3	167	258
