bubble_sort				
n	min time	max time	avg time	std dev
6310	4,87E-03	5,11E-03	4,97E-03	5,45E-05
7943	7,77E-03	8,27E-03	7,95E-03	1,06E-04
10000	1,27E-02	3,48E-02	2,01E-02	4,97E-03
12589	2,68E-02	3,51E-02	2,78E-02	1,48E-03
15849	3,12E-02	4,40E-02	3,67E-02	5,22E-03
19953	4,93E-02	5,29E-02	5,02E-02	6,64E-04
25119	7,83E-02	1,09E-01	8,81E-02	1,25E-02
31623	1,24E-01	1,71E-01	1,34E-01	1,72E-02
#-------	---------	--------- -	-------- --	-------
				
				
Shell_sort				
n	min time	max time	avg time	std dev
#-------	---------	--------- -	-------- --	-------
10	1,00E-07	2,00E-07	1,44E-07	4,97E-08
13	1,00E-07	3,00E-07	1,95E-07	2,91E-08
16	2,00E-07	3,00E-07	2,70E-07	4,60E-08
20	3,00E-07	4,00E-07	3,66E-07	4,73E-08
25	4,00E-07	6,00E-07	5,01E-07	4,72E-08
32	6,00E-07	8,00E-07	6,84E-07	5,61E-08
40	8,00E-07	1,00E-06	9,05E-07	6,03E-08
50	1,10E-06	1,40E-06	1,25E-06	6,56E-08
63	1,50E-06	1,80E-06	1,63E-06	7,38E-08
79	2,00E-06	2,40E-06	2,18E-06	8,16E-08
100	2,70E-06	3,10E-06	2,92E-06	8,83E-08
126	3,70E-06	4,10E-06	3,90E-06	1,15E-07
158	5,00E-06	5,50E-06	5,25E-06	1,27E-07
200	6,80E-06	7,40E-06	7,06E-06	1,45E-07
251	9,00E-06	9,80E-06	9,39E-06	2,04E-07
316	1,21E-05	1,29E-05	1,25E-05	2,10E-07
398	1,58E-05	1,71E-05	1,65E-05	2,99E-07
501	2,08E-05	2,22E-05	2,14E-05	3,23E-07
631	2,75E-05	3,80E-05	3,11E-05	4,16E-06
794	3,58E-05	4,38E-05	3,69E-05	6,84E-07
1000	4,58E-05	4,94E-05	4,77E-05	8,78E-07
1259	5,99E-05	6,62E-05	6,14E-05	8,88E-07
1585	7,88E-05	9,24E-05	8,08E-05	1,44E-06
1995	1,03E-04	1,16E-04	1,05E-04	1,53E-06
2512	1,34E-04	1,59E-04	1,38E-04	3,29E-06
3162	1,74E-04	2,00E-04	1,78E-04	3,65E-06
3981	2,29E-04	2,61E-04	2,34E-04	4,93E-06
5012	2,99E-04	3,43E-04	3,07E-04	7,77E-06
6310	3,89E-04	4,45E-04	4,06E-04	1,26E-05
7943	5,06E-04	5,78E-04	5,29E-04	1,57E-05
10000	6,54E-04	7,37E-04	6,76E-04	1,73E-05
12589	8,55E-04	9,71E-04	8,85E-04	2,45E-05
15849	1,11E-03	1,24E-03	1,15E-03	2,75E-05
19953	1,44E-03	1,59E-03	1,49E-03	3,44E-05
25119	1,88E-03	2,04E-03	1,94E-03	3,85E-05
31623	2,43E-03	2,64E-03	2,52E-03	4,98E-05
39811	3,17E-03	3,40E-03	3,26E-03	5,79E-05
50119	4,13E-03	4,46E-03	4,26E-03	7,66E-05
63096	5,34E-03	5,69E-03	5,48E-03	8,16E-05
79433	6,91E-03	7,34E-03	7,09E-03	1,00E-04
100000	8,94E-03	9,49E-03	9,16E-03	1,25E-04
125893	1,16E-02	1,23E-02	1,18E-02	1,66E-04
158489	1,50E-02	1,62E-02	1,54E-02	2,98E-04
199526	1,93E-02	2,16E-02	1,99E-02	4,88E-04
251189	2,47E-02	2,63E-02	2,53E-02	3,65E-04
316228	3,18E-02	3,37E-02	3,26E-02	4,31E-04
398107	4,11E-02	4,36E-02	4,21E-02	6,01E-04
501187	5,29E-02	5,60E-02	5,42E-02	7,28E-04
630957	6,83E-02	9,42E-02	7,07E-02	3,76E-03
794328	8,76E-02	1,00E-01	9,00E-02	1,62E-03
#-------	---------	--------- -	-------- --	-------
				
				
quick_sort				
n	min time	max time	avg time	std dev
#-------	---------	--------- -	-------- --	-------
10	0,00E+00	1,00E-07	9,63E-08	1,89E-08
13	1,00E-07	2,00E-07	1,19E-07	3,91E-08
16	1,00E-07	2,00E-07	1,68E-07	4,67E-08
20	2,00E-07	3,00E-07	2,46E-07	4,99E-08
25	3,00E-07	4,00E-07	3,33E-07	4,69E-08
32	4,00E-07	5,00E-07	4,69E-07	4,65E-08
40	6,00E-07	7,00E-07	6,31E-07	4,62E-08
50	7,00E-07	9,00E-07	8,43E-07	5,04E-08
63	1,00E-06	1,20E-06	1,13E-06	5,57E-08
79	1,40E-06	1,70E-06	1,52E-06	6,56E-08
100	1,90E-06	2,20E-06	2,04E-06	7,47E-08
126	2,50E-06	2,90E-06	2,73E-06	9,09E-08
158	3,40E-06	3,80E-06	3,59E-06	1,01E-07
200	4,60E-06	5,00E-06	4,79E-06	1,20E-07
251	6,00E-06	6,60E-06	6,32E-06	1,37E-07
316	8,10E-06	9,00E-06	8,55E-06	1,93E-07
398	1,08E-05	1,42E-05	1,13E-05	3,38E-07
501	1,45E-05	1,59E-05	1,51E-05	3,21E-07
631	1,93E-05	2,65E-05	2,04E-05	1,39E-06
794	2,45E-05	3,33E-05	2,57E-05	1,07E-06
1000	3,13E-05	3,36E-05	3,23E-05	5,04E-07
1259	4,10E-05	4,34E-05	4,22E-05	5,47E-07
1585	5,34E-05	5,64E-05	5,49E-05	7,06E-07
1995	6,97E-05	7,37E-05	7,15E-05	8,78E-07
2512	9,06E-05	9,52E-05	9,29E-05	1,10E-06
3162	1,18E-04	1,42E-04	1,22E-04	3,38E-06
3981	1,54E-04	1,74E-04	1,59E-04	3,27E-06
5012	1,99E-04	2,29E-04	2,05E-04	4,07E-06
6310	2,57E-04	3,05E-04	2,65E-04	6,88E-06
7943	3,33E-04	3,81E-04	3,44E-04	7,81E-06
10000	4,31E-04	4,88E-04	4,46E-04	1,11E-05
12589	5,57E-04	6,20E-04	5,76E-04	1,31E-05
15849	7,18E-04	8,04E-04	7,41E-04	1,76E-05
19953	9,26E-04	1,02E-03	9,55E-04	2,01E-05
25119	1,20E-03	1,30E-03	1,24E-03	2,49E-05
31623	1,54E-03	1,68E-03	1,59E-03	3,23E-05
39811	1,98E-03	2,14E-03	2,04E-03	3,78E-05
50119	2,54E-03	2,71E-03	2,60E-03	4,19E-05
63096	3,25E-03	3,48E-03	3,35E-03	5,59E-05
79433	4,17E-03	4,49E-03	4,30E-03	7,86E-05
100000	5,31E-03	5,62E-03	5,44E-03	7,66E-05
125893	6,75E-03	7,23E-03	6,94E-03	1,16E-04
158489	8,54E-03	9,05E-03	8,76E-03	1,26E-04
199526	1,08E-02	1,14E-02	1,10E-02	1,48E-04
251189	1,35E-02	1,44E-02	1,39E-02	1,99E-04
316228	1,70E-02	1,80E-02	1,74E-02	2,24E-04
398107	2,13E-02	2,28E-02	2,19E-02	3,46E-04
501187	2,67E-02	2,83E-02	2,73E-02	3,78E-04
630957	3,34E-02	3,55E-02	3,42E-02	4,58E-04
794328	4,20E-02	4,45E-02	4,30E-02	5,84E-04
1000000	5,26E-02	5,54E-02	5,37E-02	6,38E-04
1258925	6,61E-02	6,97E-02	6,75E-02	8,33E-04
1584893	8,30E-02	8,77E-02	8,48E-02	1,05E-03
1995262	1,04E-01	1,10E-01	1,07E-01	1,19E-03
#-------	---------	--------- -	-------- --	-------
				
				
merge_sort				
n	min time	max time	avg time	std dev
#-------	---------	--------- -	-------- --	-------
10	0,00E+00	1,00E-07	9,61E-08	1,94E-08
13	1,00E-07	2,00E-07	1,20E-07	3,96E-08
16	1,00E-07	2,00E-07	1,83E-07	3,73E-08
20	2,00E-07	3,00E-07	2,12E-07	3,21E-08
25	2,00E-07	3,00E-07	2,82E-07	3,86E-08
32	3,00E-07	4,00E-07	3,88E-07	3,26E-08
40	7,00E-07	9,00E-07	7,93E-07	3,79E-08
50	9,00E-07	1,00E-06	9,76E-07	4,29E-08
63	1,20E-06	1,30E-06	1,24E-06	4,93E-08
79	1,70E-06	1,90E-06	1,84E-06	5,59E-08
100	2,30E-06	2,70E-06	2,49E-06	1,05E-07
126	3,00E-06	3,40E-06	3,16E-06	1,07E-07
158	4,30E-06	4,70E-06	4,44E-06	8,71E-08
200	5,70E-06	6,40E-06	5,97E-06	2,09E-07
251	7,30E-06	7,80E-06	7,52E-06	1,27E-07
316	9,90E-06	1,05E-05	1,02E-05	1,41E-07
398	1,31E-05	1,38E-05	1,35E-05	1,88E-07
501	1,65E-05	1,74E-05	1,69E-05	2,18E-07
631	2,22E-05	2,31E-05	2,27E-05	2,08E-07
794	2,99E-05	3,17E-05	3,06E-05	4,23E-07
1000	3,74E-05	3,98E-05	3,86E-05	7,38E-07
1259	5,01E-05	5,27E-05	5,15E-05	6,04E-07
1585	6,63E-05	7,09E-05	6,71E-05	5,74E-07
1995	8,44E-05	9,00E-05	8,63E-05	1,32E-06
2512	1,10E-04	1,13E-04	1,11E-04	5,73E-07
3162	1,48E-04	1,76E-04	1,53E-04	4,33E-06
3981	1,87E-04	2,06E-04	1,91E-04	3,02E-06
5012	2,42E-04	2,82E-04	2,47E-04	6,99E-06
6310	3,25E-04	3,65E-04	3,32E-04	7,24E-06
7943	4,11E-04	4,61E-04	4,18E-04	8,93E-06
10000	5,26E-04	5,92E-04	5,35E-04	1,29E-05
12589	7,09E-04	7,70E-04	7,19E-04	1,19E-05
15849	8,96E-04	9,79E-04	9,14E-04	1,82E-05
19953	1,14E-03	1,23E-03	1,16E-03	2,09E-05
25119	1,53E-03	1,64E-03	1,56E-03	2,80E-05
31623	1,94E-03	2,10E-03	2,00E-03	4,50E-05
39811	2,46E-03	2,63E-03	2,51E-03	4,07E-05
50119	3,30E-03	3,52E-03	3,37E-03	5,29E-05
63096	4,17E-03	4,44E-03	4,26E-03	6,16E-05
79433	5,31E-03	5,68E-03	5,41E-03	8,03E-05
100000	7,07E-03	7,50E-03	7,21E-03	1,04E-04
125893	9,16E-03	9,79E-03	9,38E-03	1,51E-04
158489	1,15E-02	1,20E-02	1,17E-02	1,41E-04
199526	1,56E-02	1,65E-02	1,59E-02	2,39E-04
251189	1,96E-02	2,05E-02	1,99E-02	2,34E-04
316228	2,42E-02	2,56E-02	2,46E-02	3,58E-04
398107	3,26E-02	3,45E-02	3,32E-02	4,39E-04
501187	4,09E-02	4,29E-02	4,14E-02	4,59E-04
630957	5,05E-02	5,26E-02	5,11E-02	4,82E-04
794328	6,79E-02	7,08E-02	6,88E-02	6,77E-04
1000000	8,50E-02	8,82E-02	8,59E-02	7,72E-04
1258925	1,05E-01	1,09E-01	1,06E-01	8,86E-04
#-------	---------	--------- -	-------- --	-------
				
				
# heap_sort				
 n	min time	max time	avg time	std dev
#-------	---------	--------- -	-------- --	-------
10	1,00E-07	2,00E-07	1,50E-07	5,00E-08
13	1,00E-07	3,00E-07	2,06E-07	2,93E-08
16	2,00E-07	4,00E-07	2,87E-07	4,48E-08
20	3,00E-07	5,00E-07	3,91E-07	3,93E-08
25	5,00E-07	6,00E-07	5,40E-07	4,89E-08
32	7,00E-07	8,00E-07	7,60E-07	4,91E-08
40	9,00E-07	1,10E-06	1,01E-06	5,45E-08
50	1,30E-06	1,50E-06	1,35E-06	5,33E-08
63	1,70E-06	2,00E-06	1,83E-06	6,29E-08
79	2,30E-06	2,60E-06	2,43E-06	7,60E-08
100	3,10E-06	3,40E-06	3,23E-06	7,73E-08
126	4,20E-06	4,50E-06	4,34E-06	9,11E-08
158	5,50E-06	5,90E-06	5,71E-06	1,04E-07
200	7,30E-06	8,00E-06	7,58E-06	1,63E-07
251	9,70E-06	1,03E-05	9,99E-06	1,44E-07
316	1,28E-05	1,34E-05	1,31E-05	1,52E-07
398	1,70E-05	1,80E-05	1,76E-05	2,42E-07
501	2,29E-05	2,40E-05	2,33E-05	2,35E-07
631	2,91E-05	3,05E-05	2,96E-05	2,88E-07
794	3,83E-05	4,92E-05	3,93E-05	1,09E-06
1000	5,03E-05	5,36E-05	5,16E-05	7,87E-07
1259	6,52E-05	7,55E-05	6,62E-05	1,12E-06
1585	8,47E-05	9,06E-05	8,59E-05	8,78E-07
1995	1,11E-04	1,18E-04	1,14E-04	1,34E-06
2512	1,43E-04	1,64E-04	1,45E-04	2,78E-06
3162	1,84E-04	2,09E-04	1,90E-04	4,14E-06
3981	2,40E-04	2,87E-04	2,45E-04	8,15E-06
5012	3,09E-04	3,46E-04	3,14E-04	6,17E-06
6310	4,00E-04	4,47E-04	4,06E-04	8,14E-06
7943	5,17E-04	5,72E-04	5,24E-04	1,05E-05
10000	6,67E-04	7,35E-04	6,79E-04	1,47E-05
12589	8,63E-04	9,38E-04	8,79E-04	2,08E-05
15849	1,12E-03	1,20E-03	1,14E-03	2,62E-05
19953	1,44E-03	1,54E-03	1,48E-03	2,74E-05
25119	1,86E-03	2,04E-03	1,90E-03	4,09E-05
31623	2,40E-03	2,54E-03	2,44E-03	3,98E-05
39811	3,09E-03	3,30E-03	3,16E-03	5,83E-05
50119	3,98E-03	4,21E-03	4,06E-03	6,18E-05
63096	5,15E-03	5,49E-03	5,27E-03	9,47E-05
79433	6,64E-03	6,99E-03	6,74E-03	8,42E-05
100000	8,60E-03	9,09E-03	8,74E-03	1,17E-04
125893	1,12E-02	1,18E-02	1,14E-02	1,48E-04
158489	1,45E-02	1,53E-02	1,47E-02	1,99E-04
199526	1,88E-02	1,98E-02	1,91E-02	2,35E-04
251189	2,44E-02	2,56E-02	2,48E-02	2,80E-04
316228	3,16E-02	3,32E-02	3,20E-02	3,78E-04
398107	4,09E-02	4,29E-02	4,14E-02	4,63E-04
501187	5,29E-02	5,51E-02	5,35E-02	5,38E-04
630957	6,81E-02	7,11E-02	6,90E-02	7,27E-04
794328	8,78E-02	9,18E-02	8,90E-02	8,89E-04
1000000	1,14E-01	1,20E-01	1,15E-01	1,19E-03
#-------	---------	--------- -	-------- --	-------
				
				
rank_sort				
n	min time	max time	avg time	std dev
#-------	---------	--------- -	-------- --	-------
10	2,00E-07	3,00E-07	2,19E-07	3,90E-08
13	2,00E-07	3,00E-07	2,19E-07	3,92E-08
16	3,00E-07	6,00E-07	4,96E-07	3,94E-08
20	4,00E-07	6,00E-07	5,69E-07	5,19E-08
25	5,00E-07	8,00E-07	7,28E-07	6,01E-08
32	7,00E-07	1,00E-06	8,95E-07	4,39E-08
40	9,00E-07	1,10E-06	9,79E-07	4,47E-08
50	1,50E-06	1,70E-06	1,54E-06	5,07E-08
63	2,20E-06	2,40E-06	2,30E-06	6,67E-08
79	3,30E-06	3,70E-06	3,51E-06	8,70E-08
100	5,30E-06	6,40E-06	5,59E-06	2,16E-07
126	8,30E-06	9,10E-06	8,64E-06	1,85E-07
158	1,29E-05	1,41E-05	1,34E-05	2,78E-07
200	2,00E-05	2,16E-05	2,08E-05	3,58E-07
251	3,15E-05	3,38E-05	3,26E-05	5,37E-07
316	4,99E-05	5,43E-05	5,16E-05	9,69E-07
398	7,93E-05	8,40E-05	8,14E-05	1,09E-06
501	1,26E-04	1,33E-04	1,29E-04	1,63E-06
631	2,00E-04	2,25E-04	2,07E-04	4,17E-06
794	3,17E-04	3,59E-04	3,27E-04	8,41E-06
1000	5,03E-04	5,69E-04	5,17E-04	1,31E-05
1259	7,98E-04	8,88E-04	8,21E-04	1,80E-05
1585	1,27E-03	1,37E-03	1,30E-03	2,56E-05
1995	2,01E-03	2,15E-03	2,06E-03	3,51E-05
2512	3,20E-03	3,71E-03	3,31E-03	1,08E-04
3162	5,08E-03	5,56E-03	5,24E-03	1,10E-04
3981	8,07E-03	8,48E-03	8,23E-03	1,01E-04
5012	1,29E-02	1,34E-02	1,31E-02	1,52E-04
6310	2,04E-02	2,16E-02	2,08E-02	2,72E-04
7943	3,24E-02	3,38E-02	3,29E-02	3,33E-04
10000	5,15E-02	5,37E-02	5,22E-02	5,28E-04
12589	8,17E-02	8,52E-02	8,28E-02	7,98E-04
15849	1,30E-01	1,35E-01	1,31E-01	1,13E-03
#-------	---------	--------- -	-------- --	-------
				
				
selection_sort				
n	min time	max time	avg time	std dev
#-------	---------	--------- -	-------- --	-------
10	1,00E-07	2,00E-07	1,55E-07	4,97E-08
13	2,00E-07	3,00E-07	2,43E-07	4,95E-08
16	3,00E-07	4,00E-07	3,88E-07	3,21E-08
20	5,00E-07	6,00E-07	5,88E-07	3,31E-08
25	9,00E-07	1,00E-06	9,01E-07	1,04E-08
32	1,40E-06	1,50E-06	1,47E-06	4,62E-08
40	2,20E-06	2,30E-06	2,26E-06	4,87E-08
50	3,40E-06	3,60E-06	3,49E-06	5,10E-08
63	5,40E-06	5,60E-06	5,51E-06	6,65E-08
79	8,40E-06	8,80E-06	8,60E-06	9,37E-08
100	1,34E-05	1,39E-05	1,37E-05	1,32E-07
126	2,13E-05	2,21E-05	2,17E-05	1,75E-07
158	3,45E-05	3,66E-05	3,52E-05	3,89E-07
200	5,40E-05	5,87E-05	5,47E-05	5,17E-07
251	8,52E-05	9,06E-05	8,67E-05	1,19E-06
316	1,36E-04	1,56E-04	1,38E-04	2,91E-06
398	2,16E-04	2,37E-04	2,18E-04	2,62E-06
501	3,43E-04	3,76E-04	3,47E-04	6,07E-06
631	5,45E-04	5,91E-04	5,50E-04	8,60E-06
794	8,66E-04	9,33E-04	8,78E-04	1,72E-05
1000	1,38E-03	1,47E-03	1,40E-03	2,60E-05
1259	2,19E-03	2,31E-03	2,22E-03	3,52E-05
1585	3,47E-03	3,83E-03	3,56E-03	9,27E-05
1995	5,51E-03	5,83E-03	5,61E-03	8,18E-05
2512	8,76E-03	9,13E-03	8,87E-03	9,39E-05
3162	1,39E-02	1,47E-02	1,41E-02	1,77E-04
3981	2,21E-02	2,30E-02	2,24E-02	2,32E-04
5012	3,51E-02	3,66E-02	3,55E-02	3,59E-04
6310	5,57E-02	5,81E-02	5,64E-02	5,91E-04
7943	8,84E-02	9,18E-02	8,94E-02	7,94E-04
10000	1,40E-01	1,46E-01	1,42E-01	1,18E-03
#-------	---------	--------- -	-------- --	-------
				
				
tree_sort				
n	min time	max time	avg time	std dev
#-------	---------	--------- -	-------- --	-------
10	4,00E-07	6,00E-07	5,01E-07	4,53E-08
13	6,00E-07	8,00E-07	6,58E-07	5,48E-08
16	7,00E-07	1,00E-06	8,41E-07	5,34E-08
20	1,00E-06	1,30E-06	1,09E-06	6,74E-08
25	1,30E-06	1,60E-06	1,40E-06	7,58E-08
32	1,70E-06	2,10E-06	1,87E-06	9,37E-08
40	2,20E-06	2,70E-06	2,41E-06	1,06E-07
50	2,90E-06	3,40E-06	3,11E-06	1,26E-07
63	3,80E-06	4,50E-06	4,04E-06	1,54E-07
79	4,90E-06	8,20E-06	5,21E-06	2,22E-07
100	6,40E-06	3,45E-05	6,88E-06	1,26E-06
126	8,30E-06	3,68E-05	9,33E-06	3,60E-06
158	1,07E-05	3,96E-05	1,22E-05	4,98E-06
200	1,39E-05	4,49E-05	1,61E-05	6,39E-06
251	1,78E-05	4,87E-05	2,12E-05	7,86E-06
316	2,30E-05	5,63E-05	2,76E-05	9,44E-06
398	2,98E-05	6,30E-05	3,59E-05	1,05E-05
501	3,83E-05	7,37E-05	4,66E-05	1,22E-05
631	4,94E-05	8,75E-05	6,07E-05	1,36E-05
794	6,39E-05	1,03E-04	7,76E-05	1,44E-05
1000	8,30E-05	1,25E-04	1,00E-04	1,50E-05
1259	1,07E-04	1,54E-04	1,30E-04	1,53E-05
1585	1,40E-04	1,88E-04	1,67E-04	1,34E-05
1995	1,87E-04	2,46E-04	2,18E-04	8,34E-06
2512	2,64E-04	3,30E-04	2,81E-04	1,45E-05
3162	3,35E-04	4,32E-04	3,66E-04	2,09E-05
3981	4,37E-04	5,30E-04	4,75E-04	1,72E-05
5012	5,77E-04	6,93E-04	6,15E-04	2,57E-05
6310	7,55E-04	8,75E-04	7,99E-04	2,48E-05
7943	9,86E-04	1,14E-03	1,05E-03	3,47E-05
10000	1,32E-03	1,55E-03	1,39E-03	4,97E-05
12589	1,75E-03	1,98E-03	1,83E-03	5,13E-05
15849	2,31E-03	2,60E-03	2,43E-03	6,57E-05
19953	3,07E-03	3,42E-03	3,21E-03	8,21E-05
25119	4,07E-03	4,99E-03	4,26E-03	1,41E-04
31623	5,38E-03	6,03E-03	5,59E-03	1,37E-04
39811	7,15E-03	8,21E-03	7,46E-03	2,22E-04
50119	9,60E-03	1,29E-02	1,02E-02	6,00E-04
63096	1,28E-02	2,07E-02	1,45E-02	1,88E-03
79433	1,69E-02	2,99E-02	1,92E-02	2,58E-03
100000	2,26E-02	4,28E-02	2,62E-02	4,34E-03
125893	3,07E-02	5,48E-02	3,53E-02	4,82E-03
158489	4,30E-02	6,55E-02	4,92E-02	5,78E-03
199526	6,27E-02	8,78E-02	7,05E-02	7,02E-03
251189	9,71E-02	1,62E-01	1,10E-01	1,47E-02
#-------	---------	--------- -	-------- --	-------
