#	data	for MAX_MESSAGE_SIZE equal	to 1000	0							
#	data	for N_OUTLIERS equal to 20									
#	data	for N_VALID equal to 80									
#											
#		number of calls per messag	e symbol		lookahe	ad sy	mbols	max	cons	idera	tions
#		---------------------------	--------	----	-------	-----	-----	---	-----	-----	-----
#	ns	min      avg      med	max	min	avg	med	max	min	avg	med	max
#-	--	-------- -------- --------	--------	----	------	----	----	---	----	----	----
	84	0.000    0.000    0.000	0	-1	-1	-1	-1	83	83	83	83
	85	0.000    0.000    0.000	0	-1	-1	-1	-1	84	84	84	84
	86	0.000    0.000    0.000	0	-1	-1	-1	-1	85	85	85	85
	87	0.000    0.000    0.000	0	-1	-1	-1	-1	86	86	86	86
	88	0.000    0.000    0.000	0	-1	-1	-1	-1	87	87	87	87
	89	0.000    0.000    0.000	0	-1	-1	-1	-1	88	88	88	88
	90	0.000    0.000    0.000	0	-1	-1	-1	-1	89	89	89	89
	91	0.000    0.000    0.000	0	-1	-1	-1	-1	90	90	90	90
	92	0.000    0.000    0.000	0	-1	-1	-1	-1	91	91	91	91
	93	0.000    0.000    0.000	0	-1	-1	-1	-1	92	92	92	92
	94	0.000    0.000    0.000	0	-1	-1	-1	-1	93	93	93	93
	95	0.000    0.000    0.000	0	-1	-1	-1	-1	94	94	94	94
	96	0.000    0.000    0.000	0	-1	-1	-1	-1	95	95	95	95
	97	0.000    0.000    0.000	0	-1	-1	-1	-1	96	96	96	96
	98	0.000    0.000    0.000	0	-1	-1	-1	-1	97	97	97	97
	99	0.000    0.000    0.000	0	-1	-1	-1	-1	98	98	98	98
	100	0.000    0.000    0.000	0	-1	-1	-1	-1	99	99	99	99
